ID,Market,CareTime,DateCreated,StartTime,Hours,TimeOfDay,NurseType,NurseTypeLabel,TimeAccepted,Status,StatusTime,CNA,RN,LPN,Price,SurvivalTime,NoticeGiven,DayOfWeek,DayOfWeekValue,Weekend,MarketNum,Survival/Notice Ratio,StartTimeNorm,HoursNorm,PriceNorm,NoticeGivenNorm,DayOfWeekNorm,MarketNorm
553250,PHL-1,12/12/2018 15:00,7/12/2018 10:20,15,8,ET,CNA,0,,Deleted,7/12/2018 10:22,18.75,0,0,0.085333333,0.001388889,153.1944444,Wed,3,0,3,9.07E-06,0.652173913,0.51042997,0.687379686,0.414460656,0.333333333,0.4
563838,PHL-2,10/1/2018 7:00,7/20/2018 10:47,7,8,DT,Nurse,1,,Deleted,7/20/2018 10:54,0,36.95,28.95,-0.059743638,0.004861111,72.84236111,Mon,1,0,3,6.67E-05,0.304347826,0.51042997,0.56990606,0.197071721,0,0.4
566022,PHL-2,10/31/2018 7:00,7/23/2018 9:44,7,8,DT,Nurse,1,,Deleted,7/23/2018 9:48,0,36.98,28.98,-0.05877965,0.002777778,99.88611111,Wed,3,0,3,2.78E-05,0.304347826,0.51042997,0.570686633,0.270237366,0.333333333,0.4
572270,PHL-2,10/31/2018 7:00,7/26/2018 8:23,7,8,DT,CNA,0,,Deleted,7/26/2018 8:25,16.69,0,0,-0.027561414,0.001388889,96.94236111,Wed,3,0,3,1.43E-05,0.304347826,0.51042997,0.595965072,0.262273183,0.333333333,0.4
574426,PHL-2,11/1/2018 7:00,7/27/2018 14:11,7,8,DT,Nurse,1,,Deleted,7/27/2018 14:13,0,36.99,28.99,-0.058458711,0.001388889,96.70069444,Thu,4,0,3,1.44E-05,0.304347826,0.51042997,0.570946508,0.261619365,0.5,0.4
582774,PHL-2,11/1/2018 7:00,8/2/2018 9:30,7,8,DT,CNA,0,,Deleted,8/2/2018 9:32,16.41,0,0,-0.045094455,0.001388889,90.89583333,Thu,4,0,3,1.53E-05,0.304347826,0.51042997,0.581767988,0.245914575,0.5,0.4
596050,PHL-1,10/13/2018 7:00,8/13/2018 10:31,7,8,DT,Nurse,1,,Deleted,8/13/2018 10:32,0,37.76,32.96,0.012484364,0.000694444,60.85347222,Sat,6,1,3,1.14E-05,0.304347826,0.51042997,0.628391464,0.164636323,0.833333333,0.4
596052,PHL-1,10/13/2018 7:00,8/13/2018 10:31,7,8,DT,Nurse,1,,Deleted,8/13/2018 10:32,0,37.21,32.85,0.003181477,0.000694444,60.85347222,Sat,6,1,3,1.14E-05,0.304347826,0.51042997,0.620858608,0.164636323,0.833333333,0.4
596070,PHL-1,10/13/2018 15:00,8/13/2018 10:31,15,8,ET,CNA,0,,Deleted,8/13/2018 10:32,18.59,0,0,0.077461001,0.000694444,61.18680556,Sat,6,1,3,1.13E-05,0.652173913,0.51042997,0.681005198,0.165538141,0.833333333,0.4
599224,PHL-1,10/1/2018 7:00,8/15/2018 9:36,7,8,DT,Nurse,1,,Deleted,8/15/2018 9:38,0,37.7,32.92,0.011086013,0.001388889,46.89166667,Mon,1,0,3,2.96E-05,0.304347826,0.51042997,0.627259173,0.126863288,0,0.4
600360,PHL-1,10/1/2018 7:00,8/16/2018 7:58,7,8,DT,Nurse,1,,Deleted,8/16/2018 8:01,0,37.73,32.95,0.011925499,0.002083333,45.95972222,Mon,1,0,3,4.53E-05,0.304347826,0.51042997,0.627938932,0.124341954,0,0.4
600362,PHL-1,10/1/2018 7:00,8/16/2018 7:58,7,8,DT,Nurse,1,,Deleted,8/16/2018 8:00,0,37.23,32.93,0.004602256,0.001388889,45.95972222,Mon,1,0,3,3.02E-05,0.304347826,0.51042997,0.62200906,0.124341954,0,0.4
600364,PHL-1,10/1/2018 7:00,8/16/2018 7:58,7,8,DT,Nurse,1,,Deleted,8/16/2018 8:00,0,37.25,32.96,0.005311127,0.001388889,45.95972222,Mon,1,0,3,3.02E-05,0.304347826,0.51042997,0.622583056,0.124341954,0,0.4
600366,PHL-1,10/1/2018 7:00,8/16/2018 7:58,7,8,DT,Nurse,1,,Deleted,8/16/2018 8:00,0,37.42,33.13,0.010104809,0.001388889,45.95972222,Mon,1,0,3,3.02E-05,0.304347826,0.51042997,0.626464659,0.124341954,0,0.4
609360,PHL-2,11/1/2018 7:00,8/22/2018 9:27,7,8,DT,Nurse,1,,Deleted,8/22/2018 9:30,0,36.94,28.94,-0.060065357,0.002083333,70.89791667,Thu,4,0,3,2.94E-05,0.304347826,0.51042997,0.569645553,0.191811114,0.5,0.4
617462,PHL-2,11/1/2018 7:00,8/27/2018 11:53,7,8,DT,CNA,0,,Deleted,8/27/2018 11:55,16.4,0,0,-0.045731707,0.001388889,65.79652778,Thu,4,0,3,2.11E-05,0.304347826,0.51042997,0.581251984,0.178009537,0.5,0.4
621558,PHL-1,10/29/2018 15:00,8/29/2018 12:24,15,8,ET,CNA,0,,Deleted,8/29/2018 12:25,18.69,0,0,0.082397004,0.000694444,61.10833333,Mon,1,0,3,1.14E-05,0.652173913,0.51042997,0.685002043,0.165325838,0,0.4
621564,PHL-1,10/29/2018 15:00,8/29/2018 12:24,15,8,ET,Nurse,1,,Deleted,8/29/2018 12:25,0,37.79,32.59,0.007713758,0.000694444,61.10833333,Mon,1,0,3,1.14E-05,0.652173913,0.51042997,0.624528546,0.165325838,0,0.4
622936,PHL-2,11/1/2018 7:00,8/30/2018 9:57,7,8,DT,Nurse,1,,Deleted,8/30/2018 9:59,0,37.01,29.01,-0.057817415,0.001388889,62.87708333,Thu,4,0,3,2.21E-05,0.304347826,0.51042997,0.571465786,0.170111112,0.5,0.4
624860,PHL-2,11/1/2018 7:00,8/31/2018 7:15,7,8,DT,Nurse,1,,Deleted,8/31/2018 7:18,0,36.89,28.89,-0.061676889,0.002083333,61.98958333,Thu,4,0,3,3.36E-05,0.304347826,0.51042997,0.568340642,0.16771002,0.5,0.4
624862,PHL-2,11/7/2018 7:00,8/31/2018 7:15,7,8,DT,CNA,0,,Deleted,8/31/2018 7:18,16.43,0,0,-0.043822276,0.002083333,67.98958333,Wed,3,0,3,3.06E-05,0.304347826,0.51042997,0.582798114,0.18394275,0.333333333,0.4
625210,PHL-1,10/26/2018 15:00,8/31/2018 10:15,15,8,ET,CNA,0,,Deleted,8/31/2018 10:16,18.56,0,0,0.075969828,0.000694444,56.19791667,Fri,5,0,3,1.24E-05,0.652173913,0.51042997,0.679797746,0.152040928,0.666666667,0.4
625212,PHL-1,10/26/2018 15:00,8/31/2018 10:15,15,8,ET,Nurse,1,,Deleted,8/31/2018 10:16,0,37.6,32.5,0.003750275,0.000694444,56.19791667,Fri,5,0,3,1.24E-05,0.652173913,0.51042997,0.621319183,0.152040928,0.666666667,0.4
625598,PHL-1,10/1/2018 15:00,8/31/2018 13:43,15,8,ET,Nurse,1,9/22/2018 6:07,Completed,10/1/2018 22:07,0,37.53,32.84,0.007572748,21.68333333,31.05347222,Mon,1,0,3,0.698257933,0.652173913,0.51042997,0.624414366,0.084013768,0,0.4
632422,PHL-1,10/3/2018 23:00,9/5/2018 15:08,23,8,NT,CNA,0,9/5/2018 15:13,Completed,10/5/2018 7:59,18.88,0,0,0.091631356,0.003472222,28.32777778,Wed,3,0,3,0.000122573,1,0.51042997,0.692479403,0.076639524,0.333333333,0.4
632424,PHL-1,10/4/2018 15:00,9/5/2018 15:08,15,8,ET,CNA,0,9/5/2018 15:13,Completed,10/4/2018 22:01,18.3,0,0,0.06284153,0.003472222,28.99444444,Thu,4,0,3,0.000119755,0.652173913,0.51042997,0.669167328,0.078443161,0.5,0.4
