ID,Market,CareTime,DateCreated,StartTime,Hours,TimeOfDay,NurseType,NurseTypeLabel,TimeAccepted,Status,StatusTime,CNA,RN,LPN,Price,SurvivalTime,NoticeGiven,DayOfWeek,DayOfWeekValue,Weekend,MarketNum,Survival/Notice Ratio,StartTimeNorm,HoursNorm,PriceNorm,NoticeGivenNorm,DayOfWeekNorm,MarketNorm
596490,PIT-1,10/2/2018 23:00,8/13/2018 12:17,23,8,NT,Nurse,1,9/10/2018 10:37,Completed,10/3/2018 6:04,0,36.75,24.08,-0.148070126,27.93055556,50.44652778,Tue,2,0,4,0.553666561,1,0.51042997,0.498385178,0.136480804,0.166666667,0.6
611722,PIT-1,10/13/2018 23:59,8/23/2018 12:22,23,7.02,NT,Nurse,1,,Incompleted,10/13/2018 23:16,0,37.06,26.3,-0.102227048,,51.48402778,Sat,6,1,4,0,1,0.48957003,0.535505836,0.139287714,0.833333333,0.6
611724,PIT-1,10/13/2018 23:59,8/23/2018 12:22,23,7.02,NT,Nurse,1,,Incompleted,10/13/2018 23:16,0,36.93,26.17,-0.106768712,,51.48402778,Sat,6,1,4,0,1,0.48957003,0.531828301,0.139287714,0.833333333,0.6
611726,PIT-1,10/13/2018 23:59,8/23/2018 12:22,23,7.02,NT,Nurse,1,9/16/2018 3:04,Incompleted,10/13/2018 23:16,0,37.28,26.52,-0.094625482,23.6125,51.48402778,Sat,6,1,4,0.458637388,1,0.48957003,0.541661076,0.139287714,0.833333333,0.6
611728,PIT-1,10/14/2018 23:59,8/23/2018 12:22,23,7.02,NT,Nurse,1,,Incompleted,10/14/2018 23:11,0,36.95,26.19,-0.10606756,,52.48402778,Sun,7,1,4,0,1,0.48957003,0.532396047,0.141993169,1,0.6
611730,PIT-1,10/14/2018 23:00,8/23/2018 12:22,23,8,NT,Nurse,1,9/16/2018 3:05,Completed,10/15/2018 6:06,0,37.14,26.38,-0.099450657,23.61319444,52.44305556,Sun,7,1,4,0.450263513,1,0.51042997,0.537753972,0.14188232,1,0.6
611732,PIT-1,10/14/2018 23:00,8/23/2018 12:22,23,8,NT,Nurse,1,10/10/2018 13:05,Completed,10/16/2018 7:49,0,37.06,26.3,-0.102227048,48.02986111,52.44305556,Sun,7,1,4,0.915847877,1,0.51042997,0.535505836,0.14188232,1,0.6
617290,PIT-1,10/13/2018 23:59,8/27/2018 11:20,23,7.02,NT,Nurse,1,,Incompleted,10/13/2018 23:16,0,37.02,26.26,-0.103620508,,47.52708333,Sat,6,1,4,0,1,0.48957003,0.534377506,0.128582379,0.833333333,0.6
617292,PIT-1,10/14/2018 23:59,8/27/2018 11:21,23,7.02,NT,Nurse,1,,Incompleted,10/14/2018 23:11,0,36.9,26.14,-0.107822109,,48.52638889,Sun,7,1,4,0,1,0.48957003,0.53097533,0.131285955,1,0.6
617294,PIT-1,10/20/2018 23:00,8/27/2018 11:22,23,8,NT,Nurse,1,,Incompleted,10/20/2018 21:32,0,37,26.24,-0.10431856,,54.48472222,Sat,6,1,4,0,1,0.51042997,0.53381227,0.147405957,0.833333333,0.6
617296,PIT-1,10/20/2018 23:30,8/27/2018 11:22,23,7.5,NT,Nurse,1,10/10/2018 13:17,Incompleted,10/20/2018 22:59,0,37.11,26.35,-0.100490163,44.07986111,54.50555556,Sat,6,1,4,0.808722352,1,0.499787143,0.53691225,0.147462321,0.833333333,0.6
617298,PIT-1,10/20/2018 23:00,8/27/2018 11:22,23,8,NT,Nurse,1,,Incompleted,10/20/2018 21:32,0,37.03,26.27,-0.103271813,,54.48472222,Sat,6,1,4,0,1,0.51042997,0.534659855,0.147405957,0.833333333,0.6
617300,PIT-1,10/21/2018 23:59,8/27/2018 11:25,23,7.02,NT,Nurse,1,,Incompleted,10/21/2018 23:01,0,37.1,26.34,-0.100837102,,55.52361111,Sun,7,1,4,0,1,0.48957003,0.536631322,0.150216624,1,0.6
617302,PIT-1,10/21/2018 23:59,8/27/2018 11:25,23,7.02,NT,Nurse,1,,Incompleted,10/21/2018 23:01,0,37.04,26.28,-0.102923338,,55.52361111,Sun,7,1,4,0,1,0.48957003,0.534942027,0.150216624,1,0.6
617304,PIT-1,10/21/2018 23:59,8/27/2018 11:25,23,7.02,NT,Nurse,1,,Incompleted,10/21/2018 23:01,0,37.11,26.35,-0.100490163,,55.52361111,Sun,7,1,4,0,1,0.48957003,0.53691225,0.150216624,1,0.6
625262,PIT-1,11/23/2018 17:00,8/31/2018 11:02,17,6,ET,Nurse,1,,Incompleted,11/23/2018 16:28,0,37.03,27.12,-0.088653246,,84.24861111,Fri,5,0,4,0,0.739130435,0.467858663,0.546496993,0.227930816,0.666666667,0.6
625264,PIT-1,11/23/2018 15:00,8/31/2018 11:02,15,8,ET,Nurse,1,11/17/2018 8:48,Completed,11/23/2018 23:26,0,36.95,27.04,-0.091375305,77.90694444,84.16527778,Fri,5,0,4,0.925642337,0.652173913,0.51042997,0.544292852,0.227705361,0.666666667,0.6
625266,PIT-1,11/23/2018 15:00,8/31/2018 11:02,15,8,ET,Nurse,1,10/26/2018 9:11,Completed,11/23/2018 22:57,0,37.05,27.14,-0.087974852,55.92291667,84.16527778,Fri,5,0,4,0.664441657,0.652173913,0.51042997,0.547046311,0.227705361,0.666666667,0.6
625268,PIT-1,11/23/2018 23:00,8/31/2018 11:02,23,8,NT,Nurse,1,10/26/2018 9:13,Completed,11/24/2018 6:50,0,37.05,26.38,-0.101010653,55.92430556,84.49861111,Fri,5,0,4,0.66183698,1,0.51042997,0.536490792,0.228607179,0.666666667,0.6
625272,PIT-1,11/23/2018 8:00,8/31/2018 11:02,8,7,DT,Nurse,1,,Incompleted,11/23/2018 7:43,0,36.96,23.51,-0.154905007,,83.87361111,Fri,5,0,4,0,0.347826087,0.489144317,0.492850749,0.22691627,0.666666667,0.6
625274,PIT-1,11/23/2018 8:00,8/31/2018 11:02,8,7,DT,Nurse,1,,Incompleted,11/23/2018 7:43,0,36.96,23.51,-0.154905007,,83.87361111,Fri,5,0,4,0,0.347826087,0.489144317,0.492850749,0.22691627,0.666666667,0.6
625276,PIT-1,11/23/2018 8:00,8/31/2018 11:02,8,7,DT,Nurse,1,,Incompleted,11/23/2018 7:43,0,36.96,23.51,-0.154905007,,83.87361111,Fri,5,0,4,0,0.347826087,0.489144317,0.492850749,0.22691627,0.666666667,0.6
625288,PIT-1,10/31/2018 17:00,8/31/2018 11:07,17,6,ET,Nurse,1,,Incompleted,10/31/2018 16:05,0,37.07,26.31,-0.101879232,,61.24513889,Wed,3,0,4,0,0.739130435,0.467858663,0.535787474,0.165695959,0.333333333,0.6
625290,PIT-1,10/31/2018 17:00,8/31/2018 11:07,17,6,ET,Nurse,1,,Incompleted,10/31/2018 16:05,0,36.98,26.22,-0.105017496,,61.24513889,Wed,3,0,4,0,0.739130435,0.467858663,0.533246318,0.165695959,0.333333333,0.6
625292,PIT-1,10/31/2018 17:00,8/31/2018 11:07,17,6,ET,Nurse,1,,Incompleted,10/31/2018 16:05,0,36.98,26.22,-0.105017496,,61.24513889,Wed,3,0,4,0,0.739130435,0.467858663,0.533246318,0.165695959,0.333333333,0.6
625294,PIT-1,10/31/2018 23:59,8/31/2018 11:07,23,7.02,NT,Nurse,1,,Incompleted,10/31/2018 23:02,0,37.14,24.47,-0.133535234,,61.53611111,Wed,3,0,4,0,1,0.48957003,0.510154562,0.166483172,0.333333333,0.6
625296,PIT-1,10/31/2018 23:59,8/31/2018 11:07,23,7.02,NT,Nurse,1,,Incompleted,10/31/2018 23:02,0,36.85,24.18,-0.144307812,,61.53611111,Wed,3,0,4,0,1,0.48957003,0.501431649,0.166483172,0.333333333,0.6
625576,PIT-1,10/6/2018 15:00,8/31/2018 13:28,15,8,ET,CNA,0,9/9/2018 20:42,Completed,10/6/2018 22:03,16.19,0,0,-0.059295862,9.301388889,36.06388889,Sat,6,1,4,0.257914195,0.652173913,0.51042997,0.570268639,0.097569224,0.833333333,0.6
625578,PIT-1,10/6/2018 15:00,8/31/2018 13:28,15,8,ET,CNA,0,9/8/2018 2:19,Completed,10/6/2018 20:21,16.33,0,0,-0.050214329,7.535416667,36.06388889,Sat,6,1,4,0.208946314,0.652173913,0.51042997,0.577622257,0.097569224,0.833333333,0.6
630406,PIT-1,10/1/2018 23:00,9/5/2018 7:46,23,8,NT,Nurse,1,9/5/2018 10:56,Incompleted,10/1/2018 8:29,0,37.09,24.42,-0.135378081,0.131944444,26.63472222,Mon,1,0,4,0.004953851,1,0.51042997,0.508662347,0.072059039,0,0.6
630408,PIT-1,10/1/2018 23:00,9/5/2018 7:46,23,8,NT,Nurse,1,9/5/2018 21:26,Incompleted,10/1/2018 8:29,0,36.91,24.24,-0.142062236,0.569444444,26.63472222,Mon,1,0,4,0.021379778,1,0.51042997,0.503249966,0.072059039,0,0.6
630410,PIT-1,10/4/2018 23:59,9/5/2018 7:46,23,7,NT,Nurse,1,9/5/2018 23:00,Incompleted,10/4/2018 23:01,0,37.25,24.58,-0.129501953,0.634722222,29.67569444,Thu,4,0,4,0.021388622,1,0.489144317,0.513420443,0.080286252,0.5,0.6
630412,PIT-1,10/4/2018 23:59,9/5/2018 7:46,23,7,NT,Nurse,1,9/5/2018 23:14,Incompleted,10/4/2018 23:01,0,37.06,24.39,-0.136486668,0.644444444,29.67569444,Thu,4,0,4,0.021716238,1,0.489144317,0.507764688,0.080286252,0.5,0.6
630414,PIT-1,10/5/2018 23:59,9/5/2018 7:46,23,7,NT,Nurse,1,9/13/2018 8:32,Incompleted,10/5/2018 23:08,0,37.07,26.31,-0.101879232,8.031944444,30.67569444,Fri,5,0,4,0.261834152,1,0.489144317,0.535787474,0.082991707,0.666666667,0.6
630416,PIT-1,10/5/2018 23:00,9/5/2018 7:46,23,8,NT,Nurse,1,9/10/2018 10:38,Completed,10/6/2018 6:01,0,37.15,26.39,-0.099104592,5.119444444,30.63472222,Fri,5,0,4,0.167112481,1,0.51042997,0.538034192,0.082880859,0.666666667,0.6
630432,PIT-1,10/6/2018 23:59,9/5/2018 7:50,23,7.02,NT,Nurse,1,,Incompleted,10/6/2018 23:11,0,37.19,26.43,-0.097722505,,31.67291667,Sat,6,1,4,0,1,0.48957003,0.539153314,0.085689647,0.833333333,0.6
630434,PIT-1,10/6/2018 23:59,9/5/2018 7:50,23,7.02,NT,Nurse,1,,Incompleted,10/6/2018 23:11,0,36.91,26.15,-0.107470754,,31.67291667,Sat,6,1,4,0,1,0.48957003,0.531259834,0.085689647,0.833333333,0.6
630436,PIT-1,10/7/2018 23:00,9/5/2018 7:50,23,8,NT,Nurse,1,9/10/2018 10:42,Completed,10/8/2018 6:10,0,37.09,26.33,-0.10118426,5.119444444,32.63194444,Sun,7,1,4,0.156884444,1,0.51042997,0.536350216,0.088284253,1,0.6
630438,PIT-1,10/7/2018 23:59,9/5/2018 7:50,23,7.02,NT,Nurse,1,9/13/2018 1:58,Incompleted,10/7/2018 23:05,0,36.93,26.17,-0.106768712,7.755555556,32.67291667,Sun,7,1,4,0.237369551,1,0.48957003,0.531828301,0.088395102,1,0.6
630440,PIT-1,10/9/2018 23:59,9/5/2018 7:50,23,7.02,NT,Nurse,1,9/10/2018 23:01,Incompleted,10/9/2018 23:06,0,37.1,24.43,-0.135009032,5.632638889,34.67291667,Tue,2,0,4,0.16245068,1,0.48957003,0.508961179,0.093806011,0.166666667,0.6
630442,PIT-1,10/10/2018 23:59,9/5/2018 7:50,23,7,NT,Nurse,1,9/11/2018 23:00,Incompleted,10/10/2018 23:03,0,37.12,24.45,-0.134271654,6.631944444,35.67291667,Wed,3,0,4,0.18590979,1,0.489144317,0.509558258,0.096511466,0.333333333,0.6
630444,PIT-1,10/10/2018 23:59,9/5/2018 7:50,23,7,NT,Nurse,1,,Incompleted,10/10/2018 23:05,0,36.87,24.2,-0.143558306,,35.67291667,Wed,3,0,4,0,1,0.489144317,0.502038548,0.096511466,0.333333333,0.6
630446,PIT-1,10/11/2018 23:59,9/5/2018 7:50,23,7,NT,Nurse,1,,Incompleted,10/11/2018 23:02,0,36.96,24.29,-0.140197645,,36.67291667,Thu,4,0,4,0,1,0.489144317,0.504759787,0.099216921,0.5,0.6
630448,PIT-1,10/11/2018 23:59,9/5/2018 7:50,23,6.02,NT,Nurse,1,9/12/2018 23:17,Incompleted,10/11/2018 22:58,0,37.04,24.37,-0.13722693,7.64375,36.67291667,Thu,4,0,4,0.208430381,1,0.468284376,0.507165273,0.099216921,0.5,0.6
630468,PIT-1,10/12/2018 23:00,9/5/2018 7:53,23,8,NT,Nurse,1,9/14/2018 3:10,Incompleted,10/11/2018 23:20,0,37,26.24,-0.10431856,8.803472222,37.62986111,Fri,5,0,4,0.233949102,1,0.51042997,0.53381227,0.101805891,0.666666667,0.6
630470,PIT-1,10/15/2018 23:59,9/5/2018 7:53,23,7.02,NT,Nurse,1,9/16/2018 23:00,Incompleted,10/15/2018 23:07,0,37.09,24.42,-0.135378081,11.62986111,40.67083333,Mon,1,0,4,0.285950893,1,0.48957003,0.508662347,0.110033104,0,0.6
630472,PIT-1,10/15/2018 23:59,9/5/2018 7:53,23,7.02,NT,Nurse,1,,Incompleted,10/15/2018 23:07,0,36.96,24.29,-0.140197645,,40.67083333,Mon,1,0,4,0,1,0.48957003,0.504759787,0.110033104,0,0.6
630474,PIT-1,10/16/2018 23:59,9/5/2018 7:53,23,7.02,NT,Nurse,1,9/17/2018 23:02,Incompleted,10/16/2018 23:06,0,36.92,24.25,-0.14168883,12.63125,41.67083333,Tue,2,0,4,0.303119688,1,0.48957003,0.503552325,0.112738559,0.166666667,0.6
630476,PIT-1,10/17/2018 23:59,9/5/2018 7:53,23,7,NT,Nurse,1,9/19/2018 8:09,Incompleted,10/17/2018 22:58,0,36.95,24.28,-0.140570076,14.01111111,42.67083333,Wed,3,0,4,0.328353351,1,0.489144317,0.504458217,0.115444014,0.333333333,0.6
630478,PIT-1,10/17/2018 23:59,9/5/2018 7:53,23,7,NT,Nurse,1,,Incompleted,10/17/2018 22:58,0,36.92,24.25,-0.14168883,,42.67083333,Wed,3,0,4,0,1,0.489144317,0.503552325,0.115444014,0.333333333,0.6
630480,PIT-1,10/18/2018 23:59,9/5/2018 7:53,23,7,NT,Nurse,1,,Incompleted,10/18/2018 23:16,0,36.92,24.25,-0.14168883,,43.67083333,Thu,4,0,4,0,1,0.489144317,0.503552325,0.118149469,0.5,0.6
630482,PIT-1,10/18/2018 23:59,9/5/2018 7:53,23,7,NT,Nurse,1,9/19/2018 23:05,Incompleted,10/18/2018 23:15,0,37.12,24.45,-0.134271654,14.63333333,43.67083333,Thu,4,0,4,0.33508253,1,0.489144317,0.509558258,0.118149469,0.5,0.6
630484,PIT-1,10/19/2018 23:59,9/5/2018 7:53,23,7,NT,Nurse,1,,Incompleted,10/19/2018 23:00,0,36.83,26.07,-0.11028785,,44.67083333,Fri,5,0,4,0,1,0.489144317,0.528978738,0.120854924,0.666666667,0.6
630486,PIT-1,10/19/2018 23:59,9/5/2018 7:53,23,7,NT,Nurse,1,10/10/2018 13:15,Incompleted,10/19/2018 23:00,0,37.1,26.34,-0.100837102,35.22361111,44.67083333,Fri,5,0,4,0.788514753,1,0.489144317,0.536631322,0.120854924,0.666666667,0.6
630504,PIT-1,10/22/2018 23:59,9/5/2018 7:55,23,7.02,NT,Nurse,1,,Incompleted,10/22/2018 23:03,0,36.93,24.26,-0.141315668,,47.66944444,Mon,1,0,4,0,1,0.48957003,0.503854487,0.128967531,0,0.6
630506,PIT-1,10/22/2018 23:59,9/5/2018 7:55,23,7.02,NT,Nurse,1,,Incompleted,10/22/2018 23:03,0,37.12,24.45,-0.134271654,,47.66944444,Mon,1,0,4,0,1,0.48957003,0.509558258,0.128967531,0,0.6
630508,PIT-1,10/23/2018 23:00,9/5/2018 7:55,23,8,NT,Nurse,1,10/10/2018 0:48,Completed,10/24/2018 6:10,0,37.06,24.39,-0.136486668,34.70347222,48.62847222,Tue,2,0,4,0.713645127,1,0.51042997,0.507764688,0.131562137,0.166666667,0.6
630510,PIT-1,10/23/2018 23:59,9/5/2018 7:55,23,7.02,NT,Nurse,1,,Incompleted,10/23/2018 23:08,0,37.05,24.38,-0.136856678,,48.66944444,Tue,2,0,4,0,1,0.48957003,0.507465078,0.131672986,0.166666667,0.6
630512,PIT-1,10/24/2018 23:59,9/5/2018 7:55,23,7.02,NT,Nurse,1,,Incompleted,10/24/2018 23:00,0,37.05,24.38,-0.136856678,,49.66944444,Wed,3,0,4,0,1,0.48957003,0.507465078,0.134378441,0.333333333,0.6
630514,PIT-1,10/24/2018 23:59,9/5/2018 7:55,23,7.02,NT,Nurse,1,,Incompleted,10/24/2018 23:00,0,37.05,24.38,-0.136856678,,49.66944444,Wed,3,0,4,0,1,0.48957003,0.507465078,0.134378441,0.333333333,0.6
630516,PIT-1,10/25/2018 23:59,9/5/2018 7:55,23,7,NT,Nurse,1,,Incompleted,10/25/2018 23:01,0,37.03,24.36,-0.137597422,,50.66944444,Thu,4,0,4,0,1,0.489144317,0.506865274,0.137083895,0.5,0.6
630518,PIT-1,10/25/2018 23:59,9/5/2018 7:55,23,6.02,NT,Nurse,1,,Incompleted,10/25/2018 23:01,0,36.92,24.25,-0.14168883,,50.66944444,Thu,4,0,4,0,1,0.468284376,0.503552325,0.137083895,0.5,0.6
630520,PIT-1,10/26/2018 23:59,9/5/2018 7:55,23,7,NT,Nurse,1,,Incompleted,10/26/2018 23:04,0,37.09,26.33,-0.10118426,,51.66944444,Fri,5,0,4,0,1,0.489144317,0.536350216,0.13978935,0.666666667,0.6
630522,PIT-1,10/26/2018 23:00,9/5/2018 7:55,23,8,NT,Nurse,1,10/10/2018 11:33,Completed,10/27/2018 5:56,0,37.11,26.35,-0.100490163,35.15138889,51.62847222,Fri,5,0,4,0.680852781,1,0.51042997,0.53691225,0.139678502,0.666666667,0.6
630526,PIT-1,10/1/2018 15:00,9/5/2018 7:59,15,8,ET,Nurse,1,,Incompleted,10/1/2018 8:29,0,37.05,26.29,-0.102575083,,26.29236111,Mon,1,0,4,0,0.652173913,0.51042997,0.535224021,0.071132797,0,0.6
630528,PIT-1,10/1/2018 15:00,9/5/2018 7:59,15,8,ET,Nurse,1,9/5/2018 21:26,Incompleted,10/1/2018 8:29,0,37.08,26.32,-0.101531636,0.560416667,26.29236111,Mon,1,0,4,0.021314809,0.652173913,0.51042997,0.536068934,0.071132797,0,0.6
630530,PIT-1,10/2/2018 17:00,9/5/2018 7:59,17,6,ET,Nurse,1,9/12/2018 16:57,Incompleted,10/2/2018 16:09,0,36.94,26.18,-0.106418025,7.373611111,27.37569444,Tue,2,0,4,0.269348824,0.739130435,0.467858663,0.532112263,0.074063706,0.166666667,0.6
630532,PIT-1,10/2/2018 17:00,9/5/2018 7:59,17,6,ET,Nurse,1,9/9/2018 9:25,Incompleted,10/2/2018 16:09,0,36.95,26.19,-0.10606756,4.059722222,27.37569444,Tue,2,0,4,0.148296593,0.739130435,0.467858663,0.532396047,0.074063706,0.166666667,0.6
630534,PIT-1,10/4/2018 17:00,9/5/2018 7:59,17,6,ET,Nurse,1,9/12/2018 16:59,Incompleted,10/4/2018 16:40,0,36.89,26.13,-0.108173687,7.375,29.37569444,Thu,4,0,4,0.251057895,0.739130435,0.467858663,0.530690646,0.079474616,0.5,0.6
630536,PIT-1,10/4/2018 17:00,9/5/2018 7:59,17,6,ET,Nurse,1,9/5/2018 23:15,Incompleted,10/4/2018 16:40,0,36.97,26.21,-0.105367296,0.636111111,29.37569444,Thu,4,0,4,0.021654334,0.739130435,0.467858663,0.532963073,0.079474616,0.5,0.6
630538,PIT-1,10/5/2018 15:00,9/5/2018 7:59,15,8,ET,Nurse,1,9/9/2018 9:27,Completed,10/5/2018 22:04,0,37.05,27.04,-0.089672425,4.061111111,30.29236111,Fri,5,0,4,0.134063868,0.652173913,0.51042997,0.54567173,0.081954616,0.666666667,0.6
