ID,Market,CareTime,DateCreated,StartTime,Hours,TimeOfDay,NurseType,NurseTypeLabel,TimeAccepted,Status,StatusTime,CNA,RN,LPN,Price,SurvivalTime,NoticeGiven,DayOfWeek,DayOfWeekValue,Weekend,MarketNum,Survival/Notice Ratio,StartTimeNorm,HoursNorm,PriceNorm,NoticeGivenNorm,DayOfWeekNorm,MarketNorm,PCA
682122,PVD-1,12/15/2018 15:00,10/9/2018 11:51,15,8,ET,Nurse,1,11/18/2018 15:18,Completed,12/17/2018 12:12,0,38.91,32.33,0.019692508,40.14375,67.13125,Sat,6,1,5,0.597989014,0.652173913,0.51042997,0.634228137,0.181620567,0.833333333,0.8,-7.78503777
624566,PVD-1,10/6/2018 15:00,8/30/2018 15:57,15,4,ET,Nurse,1,9/11/2018 3:26,Deleted,9/24/2018 11:00,0,38.82,33.87,0.03924741,11.47847222,36.96041667,Sat,6,1,5,0.310561223,0.652173913,0.425287356,0.650062388,0.099994739,0.833333333,0.8,-0.458216477
624568,PVD-1,10/7/2018 15:00,8/30/2018 15:57,15,4,ET,Nurse,1,9/11/2018 3:30,Deleted,9/24/2018 11:00,0,38.29,33.5,0.027202873,11.48125,37.96041667,Sun,7,1,5,0.302453213,0.652173913,0.425287356,0.640309528,0.102700194,1,0.8,-0.627081863
624570,PVD-1,10/20/2018 15:00,8/30/2018 15:57,15,4,ET,Nurse,1,10/10/2018 9:21,Deleted,10/12/2018 9:41,0,39.07,34.12,0.045810825,40.725,50.96041667,Sat,6,1,5,0.799149667,0.652173913,0.425287356,0.655377003,0.137871108,0.833333333,0.8,-2.72247533
624572,PVD-1,10/21/2018 15:00,8/30/2018 15:57,15,4,ET,Nurse,1,10/10/2018 9:21,Deleted,10/12/2018 9:41,0,38.49,33.7,0.032593077,40.725,51.96041667,Sun,7,1,5,0.783769696,0.652173913,0.425287356,0.644674154,0.140576563,1,0.8,-2.892009447
631332,PVD-1,10/1/2018 15:00,9/5/2018 9:50,15,8,ET,CNA,0,,Deleted,9/27/2018 12:52,15.86,0,0,-0.081336696,22.12638889,26.21527778,Mon,1,0,5,0.84402649,0.652173913,0.51042997,0.552421446,0.070924251,0,0.8,-1.214236917
631336,PVD-1,10/1/2018 23:00,9/5/2018 9:50,23,4,NT,CNA,0,9/14/2018 21:05,Deleted,9/27/2018 12:51,19.12,0,0,0.103033473,9.46875,26.54861111,Mon,1,0,5,0.356657076,1,0.425287356,0.701712075,0.071826069,0,0.8,5.49685408
631338,PVD-1,10/1/2018 23:00,9/5/2018 9:50,23,8,NT,CNA,0,9/5/2018 12:04,Deleted,9/14/2018 9:50,19.08,0,0,0.10115304,0.093055556,26.54861111,Mon,1,0,5,0.003505101,1,0.51042997,0.700189426,0.071826069,0,0.8,3.067782233
642182,PVD-1,10/1/2018 15:00,9/12/2018 10:21,15,4,ET,Nurse,1,9/29/2018 6:06,Deleted,10/1/2018 9:53,0,38.59,34.09,0.039115221,16.82291667,19.19375,Mon,1,0,5,0.876478889,0.652173913,0.425287356,0.64995535,0.051927824,0,0.8,2.419908176
642184,PVD-1,10/1/2018 15:00,9/12/2018 10:21,15,4,ET,CNA,0,9/12/2018 10:29,Deleted,10/1/2018 9:52,17.83,0,0,0.03813797,0.005555556,19.19375,Mon,1,0,5,0.000289446,0.652173913,0.425287356,0.649164038,0.051927824,0,0.8,2.419351143
645154,PVD-1,10/1/2018 7:00,9/14/2018 9:51,7,4,DT,CNA,0,9/18/2018 10:10,Deleted,9/25/2018 9:45,16.33,0,0,-0.050214329,4.013194444,16.88125,Mon,1,0,5,0.237730882,0.304347826,0.425287356,0.577622257,0.04567146,0,0.8,-1.488384668
645158,PVD-1,10/2/2018 7:00,9/14/2018 9:53,7,4,DT,CNA,0,9/19/2018 19:29,Deleted,9/27/2018 13:52,18.83,0,0,0.089219331,5.4,17.87986111,Tue,2,0,5,0.302015769,0.304347826,0.425287356,0.690526307,0.048373157,0.166666667,0.8,-1.570682481
645162,PVD-1,10/2/2018 15:00,9/14/2018 9:53,15,4,ET,CNA,0,9/27/2018 6:27,Deleted,9/27/2018 13:51,16.61,0,0,-0.032510536,12.85694444,18.21319444,Tue,2,0,5,0.705913753,0.652173913,0.425287356,0.591957604,0.049274976,0.166666667,0.8,2.537931495
645164,PVD-1,10/2/2018 15:00,9/14/2018 9:53,15,4,ET,CNA,0,9/19/2018 10:22,Deleted,9/27/2018 13:51,16.52,0,0,-0.038135593,5.020138889,18.21319444,Tue,2,0,5,0.275631982,0.652173913,0.425287356,0.587402809,0.049274976,0.166666667,0.8,2.534725213
645166,PVD-1,10/2/2018 15:00,9/14/2018 9:53,15,4,ET,CNA,0,9/19/2018 6:28,Deleted,9/27/2018 13:52,16.61,0,0,-0.032510536,4.857638889,18.21319444,Tue,2,0,5,0.266709879,0.652173913,0.425287356,0.591957604,0.049274976,0.166666667,0.8,2.537931495
645174,PVD-1,10/3/2018 15:00,9/14/2018 9:55,15,8,ET,CNA,0,,Deleted,9/27/2018 14:40,16.37,0,0,-0.047648137,13.19791667,19.21180556,Wed,3,0,5,0.686969095,0.652173913,0.51042997,0.579700187,0.051976673,0.333333333,0.8,-0.060471939
645176,PVD-1,10/3/2018 15:00,9/14/2018 9:55,15,4,ET,CNA,0,9/14/2018 23:06,Deleted,10/1/2018 10:13,16.53,0,0,-0.037507562,0.549305556,19.21180556,Wed,3,0,5,0.028592084,0.652173913,0.425287356,0.587911346,0.051976673,0.333333333,0.8,2.373308189
645180,PVD-1,10/3/2018 15:00,9/14/2018 9:55,15,8,ET,CNA,0,,Deleted,9/27/2018 14:40,16.39,0,0,-0.046369738,13.19791667,19.21180556,Wed,3,0,5,0.686969095,0.652173913,0.51042997,0.580735349,0.051976673,0.333333333,0.8,-0.059743251
645182,PVD-1,10/4/2018 7:00,9/14/2018 9:56,7,4,DT,CNA,0,9/28/2018 8:04,Deleted,10/3/2018 10:23,18.9,0,0,0.092592593,13.92222222,19.87777778,Thu,4,0,5,0.70039128,0.304347826,0.425287356,0.693257749,0.053778431,0.5,0.8,-1.892422222
645188,PVD-1,10/4/2018 15:00,9/14/2018 9:56,15,4,ET,CNA,0,9/18/2018 8:47,Deleted,9/27/2018 14:53,16.59,0,0,-0.033755274,3.952083333,20.21111111,Thu,4,0,5,0.195540132,0.652173913,0.425287356,0.590949698,0.054680249,0.5,0.8,2.213559494
645190,PVD-1,10/4/2018 15:00,9/14/2018 9:56,15,8,ET,CNA,0,9/27/2018 6:30,Deleted,10/1/2018 10:13,16.25,0,0,-0.055384615,12.85694444,20.21111111,Thu,4,0,5,0.63613249,0.652173913,0.51042997,0.573435705,0.054680249,0.5,0.8,-0.22676923
645192,PVD-1,10/4/2018 15:00,9/14/2018 9:56,15,4,ET,CNA,0,9/19/2018 16:02,Deleted,9/27/2018 14:54,16.42,0,0,-0.044457978,5.254166667,20.21111111,Thu,4,0,5,0.259964266,0.652173913,0.425287356,0.582283365,0.054680249,0.5,0.8,2.207458953
645196,PVD-1,10/4/2018 15:00,9/14/2018 9:56,15,4,ET,CNA,0,9/26/2018 2:43,Deleted,9/27/2018 14:55,16.27,0,0,-0.054087277,11.69930556,20.21111111,Thu,4,0,5,0.57885514,0.652173913,0.425287356,0.574486202,0.054680249,0.5,0.8,2.201970252
645214,PVD-1,10/5/2018 15:00,9/14/2018 10:00,15,8,ET,CNA,0,9/19/2018 16:05,Deleted,10/2/2018 11:09,16.38,0,0,-0.047008547,5.253472222,21.20833333,Fri,5,0,5,0.247707924,0.652173913,0.51042997,0.580218084,0.057378189,0.666666667,0.8,-0.383544871
645216,PVD-1,10/5/2018 15:00,9/14/2018 10:00,15,4,ET,Nurse,1,9/14/2018 10:32,Deleted,9/28/2018 13:44,0,38.67,33.81,0.036463773,0.022222222,21.20833333,Fri,5,0,5,0.001047806,0.652173913,0.425287356,0.647808385,0.057378189,0.666666667,0.8,2.092034351
645220,PVD-1,10/5/2018 15:00,9/14/2018 10:00,15,4,ET,CNA,0,10/4/2018 3:34,Deleted,10/4/2018 10:27,16.21,0,0,-0.057988896,19.73194444,21.20833333,Fri,5,0,5,0.930386378,0.652173913,0.425287356,0.571326932,0.057378189,0.666666667,0.8,2.03819633
645236,PVD-1,10/6/2018 15:00,9/14/2018 10:00,15,8,ET,CNA,0,,Deleted,10/2/2018 10:00,16.85,0,0,-0.017804154,18,22.20833333,Sat,6,1,5,0.810506567,0.652173913,0.51042997,0.603865848,0.060083644,0.833333333,0.8,-0.528898367
645248,PVD-1,10/6/2018 23:00,9/14/2018 10:00,23,8,NT,Nurse,1,,Deleted,10/4/2018 10:27,0,38.79,32.65,0.02243693,20.01875,22.54166667,Sat,6,1,5,0.888077634,1,0.51042997,0.636450386,0.060985462,0.833333333,0.8,3.67203905
