NoticeGiven,NoticeGivenSVM,NoticeGivenXaxis
0.527259332,0.591639871,0
0.582267833,0.642386403,1
0.623229462,0.677730375,2
0.648707568,0.705522682,3
0.669405594,0.726876982,4
0.68173143,0.741487905,5
0.688990889,0.753483689,6
0.695008406,0.775520726,7
0.698545078,0.777320989,8
0.699982648,0.776737475,9
0.703076583,0.776527802,10
0.705316321,0.775875158,11
0.706626071,0.775753615,12
0.708038423,0.778034379,13
0.709792638,0.788482593,14
0.75720339,0.817057077,15
0.76556265,0.822975352,16
0.768045418,0.825766175,17
0.770650555,0.827317984,18
0.769979218,0.826428243,19
0.771979518,0.825505656,20
0.775190934,0.822930119,21
0.777182867,0.801913764,22
0.783121597,0.801804075,23
0.793297943,0.803785403,24
0.797707841,0.806549156,25
0.805505324,0.810292472,26
0.813061582,0.812408822,27
0.818602499,0.806610009,28
0.820164809,0.761086545,29
0.822801135,0.767750678,30
0.822965196,0.769141699,31
0.823185012,0.770089978,32
0.826003824,0.769838601,33
0.823629554,0.767634855,34
0.820123055,0.764103555,35
0.817904762,0.75624355,36
0.814754763,0.751054852,37
0.806352007,0.740140334,38
