Price,PriceSVM,PriceXaxis
0.258575198,0.670441676,-15
0.287456446,0.684684685,-14
0.330345711,0.68956044,-13
0.39135255,0.730186228,-12
0.44952381,0.761519522,-11
0.472972973,0.751937984,-10
0.505754476,0.771336554,-9
0.548421616,0.773511732,-8
0.621375311,0.78399747,-7
0.707876712,0.808261992,-6
0.727077748,0.809475119,-5
0.737407496,0.807931653,-4
0.734191768,0.803673342,-3
0.723171565,0.796775871,-2
0.730049041,0.786980992,-1
0.738660907,0.784323224,0
0.76156312,0.779802105,1
0.772261735,0.774943396,2
0.784668889,0.780988176,3
0.790032807,0.780903226,4
0.789443378,0.787009884,5
0.795390911,0.791980259,6
0.790426587,0.784427741,7
0.792513999,0.794554455,8
0.785657686,0.78910214,9
0.75024108,0.77670424,10
0.713723561,0.755349913,11
0.683660677,0.705091005,12
0.691331157,0.690360046,13
0.69303121,0.684384467,14
0.693053312,0.676419366,15
0.72108209,0.684275948,16
0.700374532,0.713567839,17
0.692708333,0.698630137,18
0.746478873,0.759090909,19
